Version,Date
8.13.0,2025/04/02
8.12.1,2025/02/13
8.12.0,2025/02/05
8.11.1,2024/12/11
8.11.0,2024/11/06
8.10.1,2024/09/18
8.10.0,2024/09/11
8.9.1,2024/07/31
8.9.0,2024/07/24
8.8.0,2024/05/22
8.7.1,2024/03/27
8.7.0,2024/03/27
8.6.0,2024/01/31
8.5.0,2023/12/06
8.4.0,2023/10/11
8.3.0,2023/09/13
8.2.1,2023/07/26
8.2.0,2023/07/19
8.1.2,2023/05/30
8.1.1,2023/05/23
8.1.0,2023/05/17
8.0.1,2023/03/20
8.0.0,2023/03/20
7.88.1,2023/02/20
7.88.0,2023/02/15
7.87.0,2022/12/21
7.86.0,2022/10/26
7.85.0,2022/08/31
7.84.0,2022/06/27
7.83.1,2022/05/11
7.83.0,2022/04/27
7.82.0,2022/03/05
7.81.0,2022/01/05
7.80.0,2021/11/10
7.79.1,2021/09/22
7.79.0,2021/09/15
7.78.0,2021/07/21
7.77.0,2021/05/26
7.76.1,2021/04/14
7.76.0,2021/03/31
7.75.0,2021/02/03
7.74.0,2020/12/09
7.73.0,2020/10/14
7.72.0,2020/08/19
7.71.1,2020/07/01
7.71.0,2020/06/24
7.70.0,2020/04/29
7.69.1,2020/03/11
7.69.0,2020/03/04
7.68.0,2020/01/08
7.67.0,2019/11/06
7.66.0,2019/09/11
7.65.3,2019/07/19
7.65.2,2019/07/17
7.65.1,2019/06/05
7.65.0,2019/05/22
7.64.1,2019/03/27
7.64.0,2019/02/06
7.63.0,2018/12/12
7.62.0,2018/10/31
7.61.1,2018/09/05
7.61.0,2018/07/11
7.60.0,2018/05/16
7.59.0,2018/03/14
7.58.0,2018/01/24
7.57.0,2017/11/29
7.56.1,2017/10/23
7.56.0,2017/10/04
7.55.1,2017/08/14
7.55.0,2017/08/09
7.54.1,2017/06/14
7.54.0,2017/04/19
7.53.1,2017/02/24
7.53.0,2017/02/22
7.52.1,2016/12/23
7.52.0,2016/12/21
7.51.0,2016/11/02
7.50.3,2016/09/14
7.50.2,2016/09/07
7.50.1,2016/08/03
7.50.0,2016/07/21
7.49.1,2016/05/30
7.49.0,2016/05/18
7.48.0,2016/03/23
7.47.1,2016/02/08
7.47.0,2016/01/27
7.46.0,2015/12/02
7.45.0,2015/10/07
7.44.0,2015/08/12
7.43.0,2015/06/17
7.42.1,2015/04/29
7.42.0,2015/04/22
7.41.0,2015/02/25
7.40.0,2015/01/08
7.39.0,2014/11/05
7.38.0,2014/09/10
7.37.1,2014/07/16
7.37.0,2014/05/21
7.36.0,2014/03/26
7.35.0,2014/01/29
7.34.0,2013/12/17
7.33.0,2013/10/14
7.32.0,2013/08/12
7.31.0,2013/06/22
7.30.0,2013/04/12
7.29.0,2013/02/06
7.28.1,2012/11/20
7.28.0,2012/10/10
7.27.0,2012/07/27
7.26.0,2012/05/24
7.25.0,2012/03/22
7.24.0,2012/01/24
7.23.1,2011/11/17
7.23.0,2011/11/15
7.22.0,2011/09/13
7.21.7,2011/06/23
7.21.6,2011/04/22
7.21.5,2011/04/17
7.21.4,2011/02/17
7.21.3,2010/12/15
7.21.2,2010/10/13
7.21.1,2010/08/11
7.21.0,2010/06/16
7.20.1,2010/04/14
7.20.0,2010/02/09
7.19.7,2009/11/04
7.19.6,2009/08/12
7.19.5,2009/05/18
7.19.4,2009/03/03
7.19.3,2009/01/19
7.19.2,2008/11/13
7.19.1,2008/11/05
7.19.0,2008/09/01
7.18.2,2008/06/04
7.18.1,2008/03/30
7.18.0,2008/01/28
7.17.1,2007/10/29
7.17.0,2007/09/13
7.16.4,2007/07/10
7.16.3,2007/06/25
7.16.2,2007/04/11
7.16.1,2007/01/29
7.16.0,2006/10/30
7.15.5,2006/08/07
7.15.4,2006/06/12
7.15.3,2006/03/20
7.15.2,2006/02/27
7.15.1,2005/12/07
7.15.0,2005/10/13
7.14.1,2005/09/01
7.14.0,2005/05/16
7.13.2,2005/04/04
7.13.1,2005/03/04
7.13.0,2005/02/01
7.12.3,2004/12/20
7.12.2,2004/10/18
7.12.1,2004/08/10
7.12.0,2004/06/02
7.11.2,2004/04/26
7.11.1,2004/03/19
7.11.0,2004/01/22
7.10.8,2003/11/01
7.10.7,2003/08/15
7.10.6,2003/07/28
7.10.5,2003/05/19
7.10.4,2003/04/02
7.10.3,2003/01/14
7.10.2,2002/11/18
7.10.1,2002/10/11
7.1,2002/10/01
7.9.8,2002/06/13
7.9.7,2002/05/10
7.9.6,2002/04/14
7.9.5,2002/03/07
7.9.4,2002/03/04
7.9.3,2002/01/23
7.9.2,2001/12/05
7.9.1,2001/11/04
7.9,2001/09/23
7.8.1,2001/08/20
7.8,2001/06/07
7.7.3,2001/05/04
7.7.2,2001/04/22
7.7.1,2001/04/03
7.7,2001/03/22
7.6.1,2001/02/09
7.6,2001/01/26
7.5.2,2001/01/04
7.5.1,2000/12/11
7.5,2000/12/01
7.4.2,2000/11/15
7.4.1,2000/10/16
7.4,2000/10/16
7.3,2000/09/28
7.2.1,2000/08/31
7.2,2000/08/30
7.1.1,2000/08/21
7.1,2000/08/07
6.5.2,2000/03/21
6.5.1,2000/03/20
6.5,2000/03/13
6.4,2000/01/17
6.3.1,1999/11/23
6.3,1999/11/10
6.2,1999/10/21
6.1,1999/10/17
6,1999/09/13
5.11,1999/08/25
5.1,1999/08/13
5.9.1,1999/07/30
5.9,1999/05/22
5.8,1999/05/05
5.7.1,1999/04/23
5.7,1999/04/20
5.5.1,1999/01/27
5.5,1999/01/15
5.4,1999/01/07
5.3,1998/12/21
5.2.1,1998/12/14
5.2,1998/12/14
5,1998/12/01
4.1,1998/10/26
4.9,1998/10/07
4.8.4,1998/09/20
4.8.3,1998/09/07
4.8.2,1998/08/14
4.8.1,1998/08/07
4.8,1998/07/30
4.7,1998/07/20
4.6,1998/07/03
4.5.1,1998/06/12
4.5,1998/05/30
4.4,1998/05/13
4.3,1998/04/30
4.2,1998/04/15
4.1,1998/04/03
4,1998/03/20
3.12,1998/03/14
3.11,1998/02/09
3.1,1998/02/04
3.9,1998/02/04
3.7,1998/01/15
3.6,1998/01/01
3.5,1997/12/15
3.2,1997/12/01
3.1,1997/11/24
3,1997/11/01
2.9,1997/10/15
2.8,1997/10/01
2.7,1997/09/20
2.6,1997/09/10
2.5,1997/09/01
2.4,1997/08/27
2.3,1997/08/21
2.2,1997/08/14
2.1,1997/08/10
2,1997/08/01
1.5,1997/07/21
1.4,1997/07/15
1.3,1997/06/01
1.2,1997/05/01
1.1,1997/04/20
1,1997/04/08
0.3,1997/02/01
0.2,1996/12/17
0.1,1996/11/11
